,IGHJ4,IGHJ6,IGHJ5,IGHJ3,IGHJ2,IGHJ1
Human 1,0.45788291816805055,0.2505874980416732,0.14948561282573503,0.11141573972531203,0.020262154681706616,0.010366076557522585
Human 10,0.4393313298271976,0.29604933633859254,0.14954295016278488,0.08724643125469572,0.019408965689957425,0.008420986726771851
Human 2,0.4468677301429046,0.26123712196743104,0.15455716184778998,0.09995014955134596,0.026358424725822532,0.011029411764705883
Human 3,0.44085298790174754,0.26876858527842273,0.1562792781783372,0.10116501690496559,0.023239235814086115,0.009694895922440832
Human 4,0.4136133167511719,0.3637711661723907,0.1170477374916292,0.08184253324404477,0.016024107911604323,0.007701138429159093
Human 5,0.438681561502578,0.24613307144610852,0.14860054014240118,0.13067763319420575,0.025288485146083967,0.010618708568622636
Human 6,0.45602500101465154,0.23369454929177322,0.13669385932870654,0.12967247047363936,0.03121068225171476,0.01270343763951459
Human 7,0.4372088346683648,0.28860140094513526,0.1453564366390723,0.09950732312229782,0.019438951637228943,0.009887052987900928
Human 8,0.4323557808351436,0.2955286024619841,0.15752474052618876,0.08565652908520396,0.01915882210958243,0.009775524981897175
Human 9,0.3871223490103916,0.34408358580853415,0.1507772460854546,0.08786136987852876,0.020358467593510208,0.009796981623580711
Kymouse 1,0.5375138325341202,0.27068556673868366,0.08897085946145333,0.07804184012225325,0.01891763713969542,0.005870264003794067
Kymouse 2,0.4838236609138872,0.2872157143282959,0.0905123848698918,0.10138007094101166,0.029330233389966914,0.007737935556946556
Kymouse 3,0.5005164726443835,0.29643786420038265,0.09510070126960744,0.08097506548524458,0.019286003809258153,0.007683892591123644
Kymouse 4,0.5155642533264605,0.27602414796306163,0.10457710486541268,0.0808834450162064,0.016433545050279136,0.006517503778579604
Kymouse 5,0.5201305358973718,0.2494060866738353,0.09815199179774438,0.10399109755182676,0.020618169996749106,0.00770211808247268
Kymouse 6,0.4946724489502858,0.29408081794422586,0.11162296447341968,0.06683132772336943,0.02561245297107901,0.007179987937620265
Kymouse 7,0.48565129391354633,0.28608259842899136,0.08712833116476315,0.11647631439448701,0.018288275263842708,0.006373186834369428
