,IGHV4,IGHV3,IGHV1,IGHV5,IGHV2,IGHV6,IGHV7
Human 1,0.38892726210084483,0.32059933053504064,0.23981191222570533,0.023882896764252697,0.019499495244673502,0.0072791031294830244,0.0
Human 10,0.38757819197917,0.40386752611691484,0.15943225478677803,0.023783062902867302,0.017114914425427872,0.008224049788841965,0.0
Human 2,0.31666350551094813,0.42795726117468547,0.20648669153442498,0.01995742976965712,0.022296685001369835,0.006638427008914459,0.0
Human 3,0.2665396641335183,0.4846665148158118,0.1915805603296544,0.027954361915805602,0.017435239061561716,0.011699418135133456,0.00012424160851469158
Human 4,0.3152568634096741,0.4034764925192466,0.22219532271340725,0.029051469520166563,0.02144966832905631,0.008376507044981359,0.0001936764634677771
Human 5,0.3195963256889333,0.4028932075235893,0.20836718115353373,0.025901393488720864,0.021027307379866276,0.014934699743798038,0.007279885021558458
Human 6,0.24348077240468724,0.41314573361940915,0.2610991912856907,0.03758871100841723,0.023601254332398087,0.014152500412609341,0.006931836936788249
Human 7,0.2873406966864911,0.4014953271028037,0.23857264231096006,0.03197960917587086,0.02310960067969414,0.008937977909940527,0.008564146134239592
Human 8,0.31504457310908923,0.3410225775817174,0.281009711117238,0.027050209845908772,0.024630089146218177,0.011212204760591857,3.063443923658977e-05
Human 9,0.3272283622793168,0.3694847136500646,0.24728003444811253,0.023769197646045643,0.021989378498636428,0.009817712071192766,0.00043060140663126167
Kymouse 1,0.35532693429495676,0.5127857029219919,0.035435116932704035,0.021689558254229198,0.0011454632232062365,0.07098690141591982,0.0026303229569920985
Kymouse 2,0.37930537281689886,0.4807538645470985,0.04749202458410685,0.026284327331494932,0.0017302597191932664,0.062211247889744005,0.0022229031114635715
Kymouse 3,0.40395446743315205,0.4469276931248985,0.050958545697189994,0.03296413849415917,0.0017208606059009716,0.05887801644475467,0.004596278199944686
Kymouse 4,0.42113230130162727,0.4708035942161634,0.028171121300395154,0.02685101252343193,0.0014345182043000342,0.05083298863826379,0.0007744638158184234
Kymouse 5,0.3274482168474568,0.5639770467873053,0.03529811491707145,0.01993305312964035,0.0010318878514081495,0.05164472856315909,0.0006669519039589259
Kymouse 6,0.4456130607333356,0.42346720353593204,0.04725375172110567,0.027364133893343516,0.001990118828606801,0.0515637474400361,0.002747983847640205
Kymouse 7,0.37205909946553845,0.4472408345590238,0.09206297325271014,0.025312778050153438,0.001616095585698462,0.05942631633103933,0.0022819027558364053
